,Descubrir,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
117,Descubrir,c,normal,256,65536,3521004.0
118,Descubrir,c,normal,256,65536,3836062.0
119,Descubrir,c,normal,256,65536,3565933.0
120,Descubrir,c,normal,320,102400,5382939.0
121,Descubrir,c,normal,320,102400,5673757.0
122,Descubrir,c,normal,320,102400,5536817.0
123,Descubrir,c,normal,320,102400,5525589.0
124,Descubrir,c,normal,320,102400,5478697.0
125,Descubrir,c,normal,320,102400,5565427.0
126,Descubrir,c,normal,320,102400,6176967.0
127,Descubrir,c,normal,320,102400,5337339.0
128,Descubrir,c,normal,320,102400,5784276.0
129,Descubrir,c,normal,320,102400,5730540.0
130,Descubrir,c,normal,320,102400,5611505.0
131,Descubrir,c,normal,320,102400,5641592.0
132,Descubrir,c,normal,320,102400,5406731.0
133,Descubrir,c,normal,320,102400,5608257.0
134,Descubrir,c,normal,320,102400,6045703.0
135,Descubrir,c,normal,320,102400,5702964.0
136,Descubrir,c,normal,320,102400,16992128.0
137,Descubrir,c,normal,320,102400,13112176.0
138,Descubrir,c,normal,320,102400,20419372.0
139,Descubrir,c,normal,320,102400,5334932.0
140,Descubrir,c,normal,320,102400,5670518.0
141,Descubrir,c,normal,320,102400,5917887.0
142,Descubrir,c,normal,320,102400,5609029.0
143,Descubrir,c,normal,320,102400,5712805.0
144,Descubrir,c,normal,320,102400,5523159.0
145,Descubrir,c,normal,320,102400,5559308.0
146,Descubrir,c,normal,320,102400,5518764.0
147,Descubrir,c,normal,320,102400,5570208.0
148,Descubrir,c,normal,320,102400,5757325.0
149,Descubrir,c,normal,320,102400,6274785.0
150,Descubrir,c,normal,384,147456,10737310.0
151,Descubrir,c,normal,384,147456,10190528.0
152,Descubrir,c,normal,384,147456,8354872.0
153,Descubrir,c,normal,384,147456,8370052.0
154,Descubrir,c,normal,384,147456,8126796.0
155,Descubrir,c,normal,384,147456,7983142.0
156,Descubrir,c,normal,384,147456,7955331.0
157,Descubrir,c,normal,384,147456,8098917.0
158,Descubrir,c,normal,384,147456,8029363.0
159,Descubrir,c,normal,384,147456,8358252.0
160,Descubrir,c,normal,384,147456,8259014.0
161,Descubrir,c,normal,384,147456,7924649.0
162,Descubrir,c,normal,384,147456,12708915.0
163,Descubrir,c,normal,384,147456,7875849.0
164,Descubrir,c,normal,384,147456,8045419.0
165,Descubrir,c,normal,384,147456,8226671.0
166,Descubrir,c,normal,384,147456,8003098.0
167,Descubrir,c,normal,384,147456,8149151.0
168,Descubrir,c,normal,384,147456,8254873.0
169,Descubrir,c,normal,384,147456,8147019.0
170,Descubrir,c,normal,384,147456,7897877.0
171,Descubrir,c,normal,384,147456,7834242.0
172,Descubrir,c,normal,384,147456,8053276.0
173,Descubrir,c,normal,384,147456,7760441.0
174,Descubrir,c,normal,384,147456,7810439.0
175,Descubrir,c,normal,384,147456,9785073.0
176,Descubrir,c,normal,384,147456,8187038.0
177,Descubrir,c,normal,384,147456,8120095.0
178,Descubrir,c,normal,384,147456,8343649.0
179,Descubrir,c,normal,384,147456,8305128.0
180,Descubrir,c,normal,448,200704,11278585.0
181,Descubrir,c,normal,448,200704,11126259.0
182,Descubrir,c,normal,448,200704,10979586.0
183,Descubrir,c,normal,448,200704,10814220.0
184,Descubrir,c,normal,448,200704,11161051.0
185,Descubrir,c,normal,448,200704,11088009.0
186,Descubrir,c,normal,448,200704,10931825.0
187,Descubrir,c,normal,448,200704,22981832.0
188,Descubrir,c,normal,448,200704,31826254.0
189,Descubrir,c,normal,448,200704,15314492.0
190,Descubrir,c,normal,448,200704,11006948.0
191,Descubrir,c,normal,448,200704,10852241.0
192,Descubrir,c,normal,448,200704,10715853.0
193,Descubrir,c,normal,448,200704,10725317.0
194,Descubrir,c,normal,448,200704,10937580.0
195,Descubrir,c,normal,448,200704,11153407.0
196,Descubrir,c,normal,448,200704,11109638.0
197,Descubrir,c,normal,448,200704,10795144.0
198,Descubrir,c,normal,448,200704,10981497.0
199,Descubrir,c,normal,448,200704,11266271.0
200,Descubrir,c,normal,448,200704,10902533.0
201,Descubrir,c,normal,448,200704,10768818.0
202,Descubrir,c,normal,448,200704,11138300.0
203,Descubrir,c,normal,448,200704,11165694.0
204,Descubrir,c,normal,448,200704,10920914.0
205,Descubrir,c,normal,448,200704,11154491.0
206,Descubrir,c,normal,448,200704,11156895.0
207,Descubrir,c,normal,448,200704,10876460.0
208,Descubrir,c,normal,448,200704,17367536.0
209,Descubrir,c,normal,448,200704,10884887.0
210,Descubrir,c,normal,512,262144,14420507.0
211,Descubrir,c,normal,512,262144,24759172.0
212,Descubrir,c,normal,512,262144,14145883.0
213,Descubrir,c,normal,512,262144,15012808.0
214,Descubrir,c,normal,512,262144,14113561.0
215,Descubrir,c,normal,512,262144,14151102.0
216,Descubrir,c,normal,512,262144,14170746.0
217,Descubrir,c,normal,512,262144,14161953.0
218,Descubrir,c,normal,512,262144,14597153.0
219,Descubrir,c,normal,512,262144,14540211.0
220,Descubrir,c,normal,512,262144,14295165.0
221,Descubrir,c,normal,512,262144,14002056.0
222,Descubrir,c,normal,512,262144,14374369.0
223,Descubrir,c,normal,512,262144,24608184.0
224,Descubrir,c,normal,512,262144,28109336.0
225,Descubrir,c,normal,512,262144,24654420.0
226,Descubrir,c,normal,512,262144,16719981.0
227,Descubrir,c,normal,512,262144,14687192.0
228,Descubrir,c,normal,512,262144,14397247.0
229,Descubrir,c,normal,512,262144,14184240.0
230,Descubrir,c,normal,512,262144,14548752.0
231,Descubrir,c,normal,512,262144,14422425.0
232,Descubrir,c,normal,512,262144,14362385.0
233,Descubrir,c,normal,512,262144,17396698.0
234,Descubrir,c,normal,512,262144,14794107.0
235,Descubrir,c,normal,512,262144,13889135.0
236,Descubrir,c,normal,512,262144,14174556.0
237,Descubrir,c,normal,512,262144,14442260.0
238,Descubrir,c,normal,512,262144,14346313.0
239,Descubrir,c,normal,512,262144,14124249.0
240,Descubrir,c,normal,576,331776,18815276.0
241,Descubrir,c,normal,576,331776,27150068.0
