,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
115,Zigzag,asm,normal,256,65536,402106.0
116,Zigzag,asm,normal,256,65536,371187.0
117,Zigzag,asm,normal,256,65536,371214.0
118,Zigzag,asm,normal,256,65536,437393.0
119,Zigzag,asm,normal,256,65536,401850.0
120,Zigzag,asm,normal,320,102400,581185.0
121,Zigzag,asm,normal,320,102400,581077.0
122,Zigzag,asm,normal,320,102400,580506.0
123,Zigzag,asm,normal,320,102400,593472.0
124,Zigzag,asm,normal,320,102400,579752.0
125,Zigzag,asm,normal,320,102400,611395.0
126,Zigzag,asm,normal,320,102400,580187.0
127,Zigzag,asm,normal,320,102400,620355.0
128,Zigzag,asm,normal,320,102400,579025.0
129,Zigzag,asm,normal,320,102400,697998.0
130,Zigzag,asm,normal,320,102400,579826.0
131,Zigzag,asm,normal,320,102400,579615.0
132,Zigzag,asm,normal,320,102400,668884.0
133,Zigzag,asm,normal,320,102400,610820.0
134,Zigzag,asm,normal,320,102400,659638.0
135,Zigzag,asm,normal,320,102400,619512.0
136,Zigzag,asm,normal,320,102400,579937.0
137,Zigzag,asm,normal,320,102400,641164.0
138,Zigzag,asm,normal,320,102400,715436.0
139,Zigzag,asm,normal,320,102400,701129.0
140,Zigzag,asm,normal,320,102400,624999.0
141,Zigzag,asm,normal,320,102400,668174.0
142,Zigzag,asm,normal,320,102400,677907.0
143,Zigzag,asm,normal,320,102400,580869.0
144,Zigzag,asm,normal,320,102400,628002.0
145,Zigzag,asm,normal,320,102400,619807.0
146,Zigzag,asm,normal,320,102400,579097.0
147,Zigzag,asm,normal,320,102400,824156.0
148,Zigzag,asm,normal,320,102400,612387.0
149,Zigzag,asm,normal,320,102400,580723.0
150,Zigzag,asm,normal,384,147456,899107.0
151,Zigzag,asm,normal,384,147456,835309.0
152,Zigzag,asm,normal,384,147456,981114.0
153,Zigzag,asm,normal,384,147456,880889.0
154,Zigzag,asm,normal,384,147456,995862.0
155,Zigzag,asm,normal,384,147456,834460.0
156,Zigzag,asm,normal,384,147456,1153049.0
157,Zigzag,asm,normal,384,147456,834984.0
158,Zigzag,asm,normal,384,147456,878038.0
159,Zigzag,asm,normal,384,147456,888440.0
160,Zigzag,asm,normal,384,147456,1001381.0
161,Zigzag,asm,normal,384,147456,935714.0
162,Zigzag,asm,normal,384,147456,901781.0
163,Zigzag,asm,normal,384,147456,948918.0
164,Zigzag,asm,normal,384,147456,904190.0
165,Zigzag,asm,normal,384,147456,901871.0
166,Zigzag,asm,normal,384,147456,940545.0
167,Zigzag,asm,normal,384,147456,10789844.0
168,Zigzag,asm,normal,384,147456,971422.0
169,Zigzag,asm,normal,384,147456,947716.0
