,Ocultar,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
116,Ocultar,c,normal,256,65536,4233185.0
117,Ocultar,c,normal,256,65536,13751151.0
118,Ocultar,c,normal,256,65536,4459074.0
119,Ocultar,c,normal,256,65536,4169575.0
120,Ocultar,c,normal,320,102400,7181988.0
121,Ocultar,c,normal,320,102400,7061241.0
122,Ocultar,c,normal,320,102400,7335874.0
123,Ocultar,c,normal,320,102400,6941466.0
124,Ocultar,c,normal,320,102400,10770271.0
125,Ocultar,c,normal,320,102400,6776332.0
126,Ocultar,c,normal,320,102400,16284890.0
127,Ocultar,c,normal,320,102400,10084480.0
128,Ocultar,c,normal,320,102400,6753147.0
129,Ocultar,c,normal,320,102400,6947691.0
130,Ocultar,c,normal,320,102400,6562292.0
131,Ocultar,c,normal,320,102400,6826960.0
132,Ocultar,c,normal,320,102400,6961515.0
133,Ocultar,c,normal,320,102400,6559843.0
134,Ocultar,c,normal,320,102400,7227619.0
135,Ocultar,c,normal,320,102400,9435486.0
136,Ocultar,c,normal,320,102400,12667323.0
137,Ocultar,c,normal,320,102400,6756549.0
138,Ocultar,c,normal,320,102400,6840084.0
139,Ocultar,c,normal,320,102400,6663234.0
140,Ocultar,c,normal,320,102400,6813731.0
141,Ocultar,c,normal,320,102400,6818030.0
142,Ocultar,c,normal,320,102400,6946803.0
143,Ocultar,c,normal,320,102400,6809390.0
144,Ocultar,c,normal,320,102400,7309930.0
145,Ocultar,c,normal,320,102400,6923062.0
146,Ocultar,c,normal,320,102400,6700870.0
147,Ocultar,c,normal,320,102400,6611747.0
148,Ocultar,c,normal,320,102400,6960856.0
149,Ocultar,c,normal,320,102400,7922469.0
150,Ocultar,c,normal,384,147456,9898665.0
151,Ocultar,c,normal,384,147456,9554952.0
152,Ocultar,c,normal,384,147456,22369516.0
153,Ocultar,c,normal,384,147456,9838819.0
154,Ocultar,c,normal,384,147456,13288476.0
155,Ocultar,c,normal,384,147456,9810765.0
156,Ocultar,c,normal,384,147456,9982310.0
157,Ocultar,c,normal,384,147456,15222489.0
158,Ocultar,c,normal,384,147456,24266708.0
159,Ocultar,c,normal,384,147456,31795548.0
160,Ocultar,c,normal,384,147456,24054392.0
161,Ocultar,c,normal,384,147456,9885475.0
162,Ocultar,c,normal,384,147456,9804459.0
163,Ocultar,c,normal,384,147456,9860975.0
164,Ocultar,c,normal,384,147456,9751718.0
165,Ocultar,c,normal,384,147456,9589208.0
166,Ocultar,c,normal,384,147456,9692263.0
167,Ocultar,c,normal,384,147456,9593295.0
168,Ocultar,c,normal,384,147456,9815361.0
169,Ocultar,c,normal,384,147456,10487325.0
170,Ocultar,c,normal,384,147456,9755614.0
171,Ocultar,c,normal,384,147456,9727415.0
172,Ocultar,c,normal,384,147456,15380111.0
173,Ocultar,c,normal,384,147456,13583571.0
174,Ocultar,c,normal,384,147456,9797004.0
175,Ocultar,c,normal,384,147456,10884518.0
176,Ocultar,c,normal,384,147456,9518207.0
177,Ocultar,c,normal,384,147456,9678159.0
178,Ocultar,c,normal,384,147456,9943762.0
179,Ocultar,c,normal,384,147456,9969300.0
180,Ocultar,c,normal,448,200704,13433224.0
181,Ocultar,c,normal,448,200704,26470214.0
182,Ocultar,c,normal,448,200704,13519799.0
183,Ocultar,c,normal,448,200704,16510504.0
184,Ocultar,c,normal,448,200704,16984976.0
185,Ocultar,c,normal,448,200704,13493984.0
186,Ocultar,c,normal,448,200704,13211035.0
187,Ocultar,c,normal,448,200704,13466618.0
188,Ocultar,c,normal,448,200704,49593136.0
189,Ocultar,c,normal,448,200704,13269234.0
190,Ocultar,c,normal,448,200704,13050294.0
191,Ocultar,c,normal,448,200704,13289596.0
192,Ocultar,c,normal,448,200704,36452400.0
193,Ocultar,c,normal,448,200704,16914844.0
194,Ocultar,c,normal,448,200704,23064160.0
195,Ocultar,c,normal,448,200704,18525110.0
196,Ocultar,c,normal,448,200704,41302468.0
197,Ocultar,c,normal,448,200704,14944895.0
198,Ocultar,c,normal,448,200704,13473332.0
199,Ocultar,c,normal,448,200704,13005289.0
200,Ocultar,c,normal,448,200704,13741120.0
201,Ocultar,c,normal,448,200704,13586392.0
202,Ocultar,c,normal,448,200704,13266729.0
203,Ocultar,c,normal,448,200704,13237087.0
204,Ocultar,c,normal,448,200704,13293940.0
205,Ocultar,c,normal,448,200704,19350282.0
206,Ocultar,c,normal,448,200704,13361189.0
207,Ocultar,c,normal,448,200704,15053692.0
208,Ocultar,c,normal,448,200704,18319612.0
209,Ocultar,c,normal,448,200704,13779917.0
210,Ocultar,c,normal,512,262144,25452212.0
211,Ocultar,c,normal,512,262144,31125470.0
212,Ocultar,c,normal,512,262144,21350238.0
213,Ocultar,c,normal,512,262144,26194112.0
214,Ocultar,c,normal,512,262144,17407612.0
215,Ocultar,c,normal,512,262144,20335968.0
216,Ocultar,c,normal,512,262144,56074368.0
217,Ocultar,c,normal,512,262144,41688736.0
218,Ocultar,c,normal,512,262144,75603048.0
219,Ocultar,c,normal,512,262144,17235260.0
220,Ocultar,c,normal,512,262144,40780800.0
221,Ocultar,c,normal,512,262144,24327014.0
222,Ocultar,c,normal,512,262144,20143682.0
223,Ocultar,c,normal,512,262144,17446832.0
224,Ocultar,c,normal,512,262144,17306952.0
225,Ocultar,c,normal,512,262144,17957984.0
226,Ocultar,c,normal,512,262144,47386884.0
227,Ocultar,c,normal,512,262144,17617252.0
228,Ocultar,c,normal,512,262144,44343048.0
229,Ocultar,c,normal,512,262144,17134860.0
230,Ocultar,c,normal,512,262144,18406856.0
231,Ocultar,c,normal,512,262144,17324526.0
232,Ocultar,c,normal,512,262144,22567476.0
233,Ocultar,c,normal,512,262144,18233680.0
234,Ocultar,c,normal,512,262144,25225670.0
235,Ocultar,c,normal,512,262144,39019176.0
236,Ocultar,c,normal,512,262144,17188752.0
