,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
115,Zigzag,asm,normal,256,65536,427250.0
116,Zigzag,asm,normal,256,65536,372114.0
117,Zigzag,asm,normal,256,65536,372200.0
118,Zigzag,asm,normal,256,65536,447327.0
119,Zigzag,asm,normal,256,65536,371578.0
120,Zigzag,asm,normal,320,102400,581703.0
121,Zigzag,asm,normal,320,102400,649722.0
122,Zigzag,asm,normal,320,102400,583210.0
123,Zigzag,asm,normal,320,102400,581283.0
124,Zigzag,asm,normal,320,102400,627345.0
125,Zigzag,asm,normal,320,102400,581744.0
126,Zigzag,asm,normal,320,102400,652232.0
127,Zigzag,asm,normal,320,102400,581411.0
128,Zigzag,asm,normal,320,102400,646957.0
129,Zigzag,asm,normal,320,102400,775314.0
130,Zigzag,asm,normal,320,102400,581989.0
131,Zigzag,asm,normal,320,102400,699632.0
132,Zigzag,asm,normal,320,102400,581504.0
133,Zigzag,asm,normal,320,102400,581646.0
134,Zigzag,asm,normal,320,102400,644515.0
135,Zigzag,asm,normal,320,102400,613090.0
136,Zigzag,asm,normal,320,102400,588060.0
137,Zigzag,asm,normal,320,102400,582221.0
138,Zigzag,asm,normal,320,102400,692864.0
139,Zigzag,asm,normal,320,102400,632908.0
140,Zigzag,asm,normal,320,102400,614466.0
141,Zigzag,asm,normal,320,102400,581241.0
142,Zigzag,asm,normal,320,102400,676439.0
143,Zigzag,asm,normal,320,102400,689485.0
144,Zigzag,asm,normal,320,102400,648729.0
145,Zigzag,asm,normal,320,102400,636196.0
146,Zigzag,asm,normal,320,102400,1172156.0
147,Zigzag,asm,normal,320,102400,582853.0
148,Zigzag,asm,normal,320,102400,581354.0
149,Zigzag,asm,normal,320,102400,613191.0
150,Zigzag,asm,normal,384,147456,836244.0
151,Zigzag,asm,normal,384,147456,893619.0
152,Zigzag,asm,normal,384,147456,963727.0
153,Zigzag,asm,normal,384,147456,835824.0
154,Zigzag,asm,normal,384,147456,880165.0
155,Zigzag,asm,normal,384,147456,942284.0
156,Zigzag,asm,normal,384,147456,936764.0
157,Zigzag,asm,normal,384,147456,933475.0
158,Zigzag,asm,normal,384,147456,1075571.0
159,Zigzag,asm,normal,384,147456,953270.0
160,Zigzag,asm,normal,384,147456,939218.0
161,Zigzag,asm,normal,384,147456,912448.0
162,Zigzag,asm,normal,384,147456,866463.0
163,Zigzag,asm,normal,384,147456,835306.0
164,Zigzag,asm,normal,384,147456,836012.0
165,Zigzag,asm,normal,384,147456,993374.0
166,Zigzag,asm,normal,384,147456,999318.0
167,Zigzag,asm,normal,384,147456,1030430.0
168,Zigzag,asm,normal,384,147456,922343.0
169,Zigzag,asm,normal,384,147456,966992.0
170,Zigzag,asm,normal,384,147456,930748.0
171,Zigzag,asm,normal,384,147456,936321.0
172,Zigzag,asm,normal,384,147456,880755.0
173,Zigzag,asm,normal,384,147456,876281.0
174,Zigzag,asm,normal,384,147456,837206.0
175,Zigzag,asm,normal,384,147456,845978.0
176,Zigzag,asm,normal,384,147456,940156.0
177,Zigzag,asm,normal,384,147456,891427.0
178,Zigzag,asm,normal,384,147456,881360.0
179,Zigzag,asm,normal,384,147456,963371.0
180,Zigzag,asm,normal,448,200704,1187053.0
181,Zigzag,asm,normal,448,200704,1482320.0
182,Zigzag,asm,normal,448,200704,1245675.0
183,Zigzag,asm,normal,448,200704,1257179.0
184,Zigzag,asm,normal,448,200704,1386479.0
185,Zigzag,asm,normal,448,200704,1141533.0
186,Zigzag,asm,normal,448,200704,1321549.0
187,Zigzag,asm,normal,448,200704,1310346.0
188,Zigzag,asm,normal,448,200704,1142490.0
189,Zigzag,asm,normal,448,200704,1142129.0
190,Zigzag,asm,normal,448,200704,1141658.0
191,Zigzag,asm,normal,448,200704,1220406.0
192,Zigzag,asm,normal,448,200704,1202650.0
193,Zigzag,asm,normal,448,200704,1207613.0
194,Zigzag,asm,normal,448,200704,1140270.0
195,Zigzag,asm,normal,448,200704,1236583.0
196,Zigzag,asm,normal,448,200704,2784388.0
197,Zigzag,asm,normal,448,200704,1742424.0
198,Zigzag,asm,normal,448,200704,1394848.0
199,Zigzag,asm,normal,448,200704,1209788.0
200,Zigzag,asm,normal,448,200704,1203806.0
201,Zigzag,asm,normal,448,200704,1241058.0
202,Zigzag,asm,normal,448,200704,1200708.0
203,Zigzag,asm,normal,448,200704,2072870.0
204,Zigzag,asm,normal,448,200704,1245951.0
205,Zigzag,asm,normal,448,200704,1204712.0
206,Zigzag,asm,normal,448,200704,1202793.0
207,Zigzag,asm,normal,448,200704,1259309.0
208,Zigzag,asm,normal,448,200704,1473149.0
209,Zigzag,asm,normal,448,200704,1249181.0
210,Zigzag,asm,normal,512,262144,1533274.0
211,Zigzag,asm,normal,512,262144,1651410.0
212,Zigzag,asm,normal,512,262144,1532502.0
213,Zigzag,asm,normal,512,262144,1727570.0
214,Zigzag,asm,normal,512,262144,1987747.0
215,Zigzag,asm,normal,512,262144,1513251.0
216,Zigzag,asm,normal,512,262144,1699779.0
217,Zigzag,asm,normal,512,262144,1540212.0
218,Zigzag,asm,normal,512,262144,1492057.0
219,Zigzag,asm,normal,512,262144,1829466.0
220,Zigzag,asm,normal,512,262144,1532503.0
221,Zigzag,asm,normal,512,262144,1573150.0
222,Zigzag,asm,normal,512,262144,1756885.0
223,Zigzag,asm,normal,512,262144,1486749.0
224,Zigzag,asm,normal,512,262144,1644540.0
225,Zigzag,asm,normal,512,262144,1637723.0
226,Zigzag,asm,normal,512,262144,1720571.0
227,Zigzag,asm,normal,512,262144,1486365.0
228,Zigzag,asm,normal,512,262144,1588785.0
229,Zigzag,asm,normal,512,262144,1681972.0
230,Zigzag,asm,normal,512,262144,1865156.0
231,Zigzag,asm,normal,512,262144,1481194.0
232,Zigzag,asm,normal,512,262144,2710223.0
233,Zigzag,asm,normal,512,262144,1482296.0
234,Zigzag,asm,normal,512,262144,1586727.0
235,Zigzag,asm,normal,512,262144,1561831.0
236,Zigzag,asm,normal,512,262144,1567369.0
237,Zigzag,asm,normal,512,262144,1566022.0
238,Zigzag,asm,normal,512,262144,1767141.0
239,Zigzag,asm,normal,512,262144,1694101.0
240,Zigzag,asm,normal,576,331776,2091992.0
241,Zigzag,asm,normal,576,331776,1936165.0
242,Zigzag,asm,normal,576,331776,2071660.0
243,Zigzag,asm,normal,576,331776,2159530.0
244,Zigzag,asm,normal,576,331776,2025907.0
245,Zigzag,asm,normal,576,331776,2082162.0
246,Zigzag,asm,normal,576,331776,2066269.0
247,Zigzag,asm,normal,576,331776,1934327.0
248,Zigzag,asm,normal,576,331776,2267401.0
249,Zigzag,asm,normal,576,331776,2256915.0
250,Zigzag,asm,normal,576,331776,2071148.0
251,Zigzag,asm,normal,576,331776,1982677.0
252,Zigzag,asm,normal,576,331776,2119898.0
253,Zigzag,asm,normal,576,331776,1954037.0
254,Zigzag,asm,normal,576,331776,2239833.0
255,Zigzag,asm,normal,576,331776,2170710.0
256,Zigzag,asm,normal,576,331776,2169496.0
257,Zigzag,asm,normal,576,331776,1964388.0
258,Zigzag,asm,normal,576,331776,2061667.0
259,Zigzag,asm,normal,576,331776,2040470.0
260,Zigzag,asm,normal,576,331776,2020757.0
261,Zigzag,asm,normal,576,331776,8647984.0
262,Zigzag,asm,normal,576,331776,2001008.0
263,Zigzag,asm,normal,576,331776,2444488.0
264,Zigzag,asm,normal,576,331776,2030095.0
265,Zigzag,asm,normal,576,331776,1892630.0
266,Zigzag,asm,normal,576,331776,2075357.0
267,Zigzag,asm,normal,576,331776,2105153.0
268,Zigzag,asm,normal,576,331776,2098937.0
269,Zigzag,asm,normal,576,331776,1976568.0
270,Zigzag,asm,normal,640,409600,2582094.0
271,Zigzag,asm,normal,640,409600,2635020.0
272,Zigzag,asm,normal,640,409600,2782688.0
273,Zigzag,asm,normal,640,409600,2705740.0
274,Zigzag,asm,normal,640,409600,2638109.0
275,Zigzag,asm,normal,640,409600,2412020.0
276,Zigzag,asm,normal,640,409600,2537253.0
277,Zigzag,asm,normal,640,409600,2553564.0
278,Zigzag,asm,normal,640,409600,2530509.0
279,Zigzag,asm,normal,640,409600,2580003.0
280,Zigzag,asm,normal,640,409600,2420022.0
281,Zigzag,asm,normal,640,409600,2672129.0
282,Zigzag,asm,normal,640,409600,14588609.0
283,Zigzag,asm,normal,640,409600,2537667.0
284,Zigzag,asm,normal,640,409600,2504371.0
285,Zigzag,asm,normal,640,409600,2616562.0
286,Zigzag,asm,normal,640,409600,2678236.0
287,Zigzag,asm,normal,640,409600,2537026.0
288,Zigzag,asm,normal,640,409600,2532049.0
289,Zigzag,asm,normal,640,409600,2426596.0
290,Zigzag,asm,normal,640,409600,3006256.0
291,Zigzag,asm,normal,640,409600,3717036.0
292,Zigzag,asm,normal,640,409600,2593003.0
293,Zigzag,asm,normal,640,409600,2577117.0
294,Zigzag,asm,normal,640,409600,2393020.0
295,Zigzag,asm,normal,640,409600,2643538.0
296,Zigzag,asm,normal,640,409600,2637439.0
297,Zigzag,asm,normal,640,409600,2348372.0
298,Zigzag,asm,normal,640,409600,2534571.0
299,Zigzag,asm,normal,640,409600,2537994.0
300,Zigzag,asm,normal,704,495616,3173356.0
301,Zigzag,asm,normal,704,495616,3186364.0
302,Zigzag,asm,normal,704,495616,3057002.0
303,Zigzag,asm,normal,704,495616,9821060.0
304,Zigzag,asm,normal,704,495616,3402228.0
305,Zigzag,asm,normal,704,495616,3183322.0
306,Zigzag,asm,normal,704,495616,4577791.0
307,Zigzag,asm,normal,704,495616,3223108.0
308,Zigzag,asm,normal,704,495616,3720628.0
309,Zigzag,asm,normal,704,495616,3195807.0
310,Zigzag,asm,normal,704,495616,3124889.0
311,Zigzag,asm,normal,704,495616,3253788.0
312,Zigzag,asm,normal,704,495616,3451733.0
313,Zigzag,asm,normal,704,495616,3346744.0
314,Zigzag,asm,normal,704,495616,3300275.0
315,Zigzag,asm,normal,704,495616,3288221.0
316,Zigzag,asm,normal,704,495616,3176903.0
317,Zigzag,asm,normal,704,495616,3139346.0
318,Zigzag,asm,normal,704,495616,3153798.0
319,Zigzag,asm,normal,704,495616,3851549.0
320,Zigzag,asm,normal,704,495616,3140981.0
321,Zigzag,asm,normal,704,495616,3179367.0
322,Zigzag,asm,normal,704,495616,3109492.0
323,Zigzag,asm,normal,704,495616,3161242.0
324,Zigzag,asm,normal,704,495616,3258324.0
325,Zigzag,asm,normal,704,495616,3204067.0
326,Zigzag,asm,normal,704,495616,3099431.0
327,Zigzag,asm,normal,704,495616,3104677.0
328,Zigzag,asm,normal,704,495616,3192542.0
329,Zigzag,asm,normal,704,495616,3348380.0
330,Zigzag,asm,normal,768,589824,4041097.0
331,Zigzag,asm,normal,768,589824,3716390.0
332,Zigzag,asm,normal,768,589824,3719807.0
333,Zigzag,asm,normal,768,589824,3940725.0
334,Zigzag,asm,normal,768,589824,3866056.0
335,Zigzag,asm,normal,768,589824,3679873.0
336,Zigzag,asm,normal,768,589824,3708311.0
337,Zigzag,asm,normal,768,589824,3763954.0
338,Zigzag,asm,normal,768,589824,7121762.0
