,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
176,Zigzag,asm,normal,384,147456,919350.0
177,Zigzag,asm,normal,384,147456,890861.0
178,Zigzag,asm,normal,384,147456,835574.0
179,Zigzag,asm,normal,384,147456,1061412.0
180,Zigzag,asm,normal,448,200704,1304146.0
181,Zigzag,asm,normal,448,200704,1182935.0
182,Zigzag,asm,normal,448,200704,1343199.0
183,Zigzag,asm,normal,448,200704,1312471.0
184,Zigzag,asm,normal,448,200704,1280277.0
185,Zigzag,asm,normal,448,200704,1183984.0
186,Zigzag,asm,normal,448,200704,1241018.0
187,Zigzag,asm,normal,448,200704,1304813.0
188,Zigzag,asm,normal,448,200704,1381219.0
189,Zigzag,asm,normal,448,200704,1265141.0
190,Zigzag,asm,normal,448,200704,1179116.0
191,Zigzag,asm,normal,448,200704,1217910.0
192,Zigzag,asm,normal,448,200704,1139305.0
193,Zigzag,asm,normal,448,200704,1311550.0
194,Zigzag,asm,normal,448,200704,1201319.0
195,Zigzag,asm,normal,448,200704,1191413.0
196,Zigzag,asm,normal,448,200704,1340583.0
197,Zigzag,asm,normal,448,200704,1323745.0
198,Zigzag,asm,normal,448,200704,1575283.0
199,Zigzag,asm,normal,448,200704,1361400.0
200,Zigzag,asm,normal,448,200704,1221213.0
201,Zigzag,asm,normal,448,200704,1367780.0
202,Zigzag,asm,normal,448,200704,1292439.0
203,Zigzag,asm,normal,448,200704,1201230.0
204,Zigzag,asm,normal,448,200704,1217746.0
205,Zigzag,asm,normal,448,200704,1275276.0
206,Zigzag,asm,normal,448,200704,1171323.0
207,Zigzag,asm,normal,448,200704,1255800.0
208,Zigzag,asm,normal,448,200704,1338686.0
209,Zigzag,asm,normal,448,200704,1139305.0
210,Zigzag,asm,normal,512,262144,1628991.0
211,Zigzag,asm,normal,512,262144,1761944.0
212,Zigzag,asm,normal,512,262144,1667795.0
213,Zigzag,asm,normal,512,262144,1539210.0
214,Zigzag,asm,normal,512,262144,1704095.0
215,Zigzag,asm,normal,512,262144,1605508.0
216,Zigzag,asm,normal,512,262144,1658506.0
217,Zigzag,asm,normal,512,262144,1531230.0
218,Zigzag,asm,normal,512,262144,1482615.0
219,Zigzag,asm,normal,512,262144,1481271.0
220,Zigzag,asm,normal,512,262144,1610976.0
221,Zigzag,asm,normal,512,262144,1822305.0
222,Zigzag,asm,normal,512,262144,1626565.0
223,Zigzag,asm,normal,512,262144,1563249.0
224,Zigzag,asm,normal,512,262144,2010944.0
225,Zigzag,asm,normal,512,262144,1593343.0
226,Zigzag,asm,normal,512,262144,1483595.0
227,Zigzag,asm,normal,512,262144,1675473.0
228,Zigzag,asm,normal,512,262144,1651121.0
229,Zigzag,asm,normal,512,262144,1642678.0
230,Zigzag,asm,normal,512,262144,1828548.0
231,Zigzag,asm,normal,512,262144,1983657.0
232,Zigzag,asm,normal,512,262144,1482332.0
233,Zigzag,asm,normal,512,262144,1553021.0
234,Zigzag,asm,normal,512,262144,1562495.0
235,Zigzag,asm,normal,512,262144,1770211.0
236,Zigzag,asm,normal,512,262144,1611950.0
237,Zigzag,asm,normal,512,262144,1524374.0
238,Zigzag,asm,normal,512,262144,1567907.0
239,Zigzag,asm,normal,512,262144,1534825.0
240,Zigzag,asm,normal,576,331776,1936585.0
241,Zigzag,asm,normal,576,331776,2447976.0
242,Zigzag,asm,normal,576,331776,2064914.0
243,Zigzag,asm,normal,576,331776,2143564.0
244,Zigzag,asm,normal,576,331776,2099422.0
