,Zigzag,Lenguaje,Técnica,Resolucion,Píxeles,Ciclos
115,Zigzag,asm,normal,256,65536,391878.0
116,Zigzag,asm,normal,256,65536,372933.0
117,Zigzag,asm,normal,256,65536,391887.0
118,Zigzag,asm,normal,256,65536,424241.0
119,Zigzag,asm,normal,256,65536,371527.0
120,Zigzag,asm,normal,320,102400,586454.0
121,Zigzag,asm,normal,320,102400,583011.0
122,Zigzag,asm,normal,320,102400,581578.0
123,Zigzag,asm,normal,320,102400,711283.0
124,Zigzag,asm,normal,320,102400,635241.0
125,Zigzag,asm,normal,320,102400,602113.0
126,Zigzag,asm,normal,320,102400,613087.0
127,Zigzag,asm,normal,320,102400,663379.0
128,Zigzag,asm,normal,320,102400,649983.0
129,Zigzag,asm,normal,320,102400,586335.0
130,Zigzag,asm,normal,320,102400,762748.0
131,Zigzag,asm,normal,320,102400,628582.0
132,Zigzag,asm,normal,320,102400,699226.0
133,Zigzag,asm,normal,320,102400,631806.0
134,Zigzag,asm,normal,320,102400,637062.0
135,Zigzag,asm,normal,320,102400,666957.0
136,Zigzag,asm,normal,320,102400,703797.0
137,Zigzag,asm,normal,320,102400,583201.0
138,Zigzag,asm,normal,320,102400,651911.0
139,Zigzag,asm,normal,320,102400,623706.0
140,Zigzag,asm,normal,320,102400,630563.0
141,Zigzag,asm,normal,320,102400,614439.0
142,Zigzag,asm,normal,320,102400,581137.0
143,Zigzag,asm,normal,320,102400,582826.0
144,Zigzag,asm,normal,320,102400,688750.0
145,Zigzag,asm,normal,320,102400,616867.0
146,Zigzag,asm,normal,320,102400,634404.0
147,Zigzag,asm,normal,320,102400,651640.0
148,Zigzag,asm,normal,320,102400,934482.0
149,Zigzag,asm,normal,320,102400,581176.0
150,Zigzag,asm,normal,384,147456,878202.0
151,Zigzag,asm,normal,384,147456,1017451.0
152,Zigzag,asm,normal,384,147456,874616.0
153,Zigzag,asm,normal,384,147456,970335.0
154,Zigzag,asm,normal,384,147456,944262.0
155,Zigzag,asm,normal,384,147456,921350.0
156,Zigzag,asm,normal,384,147456,892464.0
157,Zigzag,asm,normal,384,147456,942427.0
158,Zigzag,asm,normal,384,147456,910080.0
159,Zigzag,asm,normal,384,147456,877053.0
160,Zigzag,asm,normal,384,147456,973131.0
161,Zigzag,asm,normal,384,147456,1077211.0
162,Zigzag,asm,normal,384,147456,958549.0
163,Zigzag,asm,normal,384,147456,949689.0
164,Zigzag,asm,normal,384,147456,3594850.0
165,Zigzag,asm,normal,384,147456,995719.0
